плесневеть, пліснявіти
проповедование, проповідування
наблюдательский, спостережницький
выкрадывать, викрадати
незрелый, незрілий
стародавний, стародавній
влагозащита, вологозахист
теплолюбивый, теплолюбний
целлюлитный, целюлітний
общеполитический, загальнополітичний
нейролингвистический, нейролінгвістичний
кратер, кратер
эскортирование, ескортування
пародировать, пародіювати
удостовериться, упевнитися
стерилизоваться, стерилізуватися
безглютеновый, безглютеновий
иллюстрировать, ілюструвати
сформировать, сформувати
автокомплект, автокомплект
одушевлённый, одухотворений
одухотворённость, натхненність
самовосхваление, самовихваляння
лейкоцитоз, лейкоцитоз
отобразиться, відобразитися
топографически, топографічно
аккредитационный, акредитаційний
рецепторный, рецепторний
салатовый, салатовий
парашютист, парашутист
маркированный, маркований
гипотенуза, гіпотенуза
биотопливный, біопаливний
водораспределительный, водорозподільний
бескорыстный, безкорисливий
геостационарный, геостаціонарний
квалифицированность, кваліфікованість
размеренность, розміреність
ясновидец, ясновидець
аккумулированный, акумульований
короткометражка, короткометражка
асортимент, асортимент
аромалампа, аромалампа
радиоастрономический, радіоастрономічний
саморегулируемый, саморегулівний
понаблюдать, поспостерігати
турбореактивный, турбореактивний
светолюбивый, світлолюбний
гипотрофия, гіпотрофія
герметический, герметичний
буревестник, буревісник
свиноферма, свиноферма
бисероплетение, бісероплетіння
выпекать, випікати
безголовый, безголовий
криминологический, кримінологічний
авиалайнер, авіалайнер
живодёр, шкуродер
взбунтоваться, збунтуватися
амортизация, амортизація
среднестатистический, середньостатистичний
властолюбивый, владолюбний
термоядерный, термоядерний
брызгаться, бризкатися
канонизировать, канонізувати
западноукраинский, західноукраїнський
балансировать, балансувати
двухуровневый, дворівневий
ампутированный, ампутований
ближнемагистральный, близькомагістральний
арахнофобия, арахнофобія
вегетарианский, вегетаріанський
бесхитростный, нехитрий
законспирировать, законспірувати
синхронизировать, синхронізувати
природопользование, природокористування
миндальный, мигдальний
диахронический, діахронічний
простудиться, застудитися
клерикализация, клерикалізація
книгоиздательский, видавничий
патологоанатом, патологоанатом
ослабеть, ослабнути
жаростойкость, жаростійкість
быстроногий, прудконогий
автотехнический, автотехнічний
бисквит, бісквіт
плоскостной, площинний
фитогормон, фітогормон
бронхопневмония, бронхопневмонія
агломерация, агломерація
подробный, докладний
тщеславный, марнославний
гиперболизированный, гіперболізований
застраховаться, застрахуватися
сырьевой, сировинний
легкоусвояемый, легкозасвоюваний
инициализировать, ініціалізувати
осмеливаться, насмілюватися
шейный, шийний
прецедентный, прецедентний
диалектический, діалектичний
видеомагнитофон, відеомагнітофон
библиотекарша, бібліотекарка
сфотографировать, сфотографувати
шлюзовый, шлюзовий
реминисценция, ремінісценція
низкотемпературный, низькотемпературний
радиоуправляемый, радіокерований
многоярусный, багатоярусний
радикулит, радикуліт
вафельный, вафельний
отгадывание, відгадування
пневмопривод, пневмопривід
пересолить, пересолити
подкарауливать, підстерігати
энергоёмкость, енергоємність
лесопарковый, лісопарковий
архитектор, архітектор
верховенствовать, панувати
репродуктивный, репродуктивний
взрывобезопасный, вибухобезпечний
паразитология, паразитологія
засохнуть, засохнути
многоконфессиональный, багатоконфесійний
пригвоздить, пришпилити
либеральность, ліберальність
гиперстимуляция, гіперстимуляція
загазованный, загазований
ресурсоёмкий, ресурсномісткий
мыловарение, миловаріння
электромашиностроение, електромашинобудування
ампутировать, ампутувати
транспортировочный, транспортувальний
теплоэнергетический, теплоенергетичний
опустошительный, спустошливий
нетерпеливый, нетерплячий
высоконравственный, високоморальний
быстроходный, швидкохідний
аллергенный, алергенний
стипендиальный, стипендіальний
видоизменяться, видозмінюватися
карбюратор, карбюратор
сюрреалистический, сюрреалістичний
размахнуться, розмахнутися
задекларировать, задекларувати
антиэкологический, антиекологічний
мобилизационный, мобілізаційний
аппаратурный, апаратурний
тонкостенный, тонкостінний
топливосберегающий, паливозберігаючий
фальсифицировать, фальсифікувати
среднеобразовательный, загальноосвітній
ламинирование, ламінування
перпендикулярный, перпендикулярний
акварельный, акварельний
теплооборудование, теплообладнання
пленница, полонянка
коллективизм, колективізм
стеклопластик, склопластик
реабилитировать, реабілітувати
мясистый, м'ясистий
инфекционный, інфекційний
вымешивание, вимішування
металлообрабатывающий, металообробний
траволечение, траволікування
синергический, синергічний
геодинамический, геодинамічний
провинциальность, провінційність
бесчувственность, нечутливість
всесторонний, всебічний
онкобольной, онкохворий
национализировать, націоналізувати
лизингодатель, лізингодавець
монохромный, монохромний
антиагрегантный, антиагрегантний
пароходный, пароплавний
