керамика, кераміка
сад, сад
бессмысленно, безглуздо
благодарить, дякувати
нарушать, порушувати
делать, робити
царить, панувати
утро, ранок
доклад, доповідь
отмена, скасування
открыться, відкритися
настрой, настрій
свидетель, свідок
достижение, досягнення
дошкольный, дошкільний
регулятор, регулятор
крестьянский, селянський
столкновение, зіткнення
зуб, зуб
перемещение, переміщення
удостоверение, посвідчення
советовать, радити
пропасть, прірва
носить, носити
изобразительный, образотворчий
гора, гора
дополнить, доповнити
синтез, синтез
пограничный, прикордонний
театральный, театральний
бесполезный, даремний
взаимоотношения, взаємини
флаг, прапор
мелко, дрібно
преступность, злочинність
химия, хімія
тренировка, тренування
превращать, перетворювати
весёлый, веселий
фирменный, фірмовий
верить, вірити
курорт, курорт
конференция, конференція
ритуал, ритуал
настроение, настрій
производитель, виробник
аспект, аспект
случаться, траплятися
нравиться, подобатися
командующий, командувач
барокко, бароко
возрастной, вікової
повреждение, пошкодження
перенести, перенести
ветка, гілка
таковой, такий
студенческий, студентський
школьный, шкільний
правильный, правильний
датчик, датчик
добавить, додати
стаж, стаж
морковь, морква
иметься, бути
прочный, міцний
усиливаться, посилюватися
выработать, виробити
коммерческий, комерційний
реорганизация, реорганізація
сбор, збір
ученик, учень
объект, об'єкт
принимать, приймати
зелень, зелень
проявление, прояв
железный, залізний
назначать, призначати
запустить, запустити
карта, карта
взрыв, вибух
сессия, сесія
особенность, особливість
кататься, кататися
вето, вето
канцлер, канцлер
каменный, кам'яний
биржа, біржа
бассейн, басейн
рисковать, ризикувати
ассоциация, асоціація
публикация, публікація
встретиться, зустрітися
цветной, кольоровий
палатка, палатка
иерархия, ієрархія
привести, привезти
воин, воїн
внешнеполитический, зовнішньополітичний
активность, активність
давать, давати
детский, дитячий
новинка, новинка
вредный, шкідливий
переводить, переводити
торговый, торговий
субъект, суб'єкт
итальянский, італійський
горка, гірка
продаваться, продаватися
долгосрочный, довгостроковий
ёмкость, ємність
снег, сніг
семья, родина
звено, ланка
лень, лінь
доставлять, доставляти
лауреат, лауреат
обратный, зворотний
ягода, ягода
обучать, навчати
простить, пробачити
богослужение, богослужіння
ослабление, ослаблення
карточка, картка
тревога, тривога
методика, методика
срок, термін
выдающийся, видатний
поступать, надходити
вектор, вектор
еда, їжа
справиться, впоратися
мочить, мочити
издавна, здавна
водный, водний
пилот, пілот
подчинение, підпорядкування
игрок, гравець
обсуждаться, обговорюватися
грань, грань
аромат, аромат
лекарственный, лікарський
броситься, кинутися
вселенная, всесвіт
испанский, іспанський
архитектурный, архітектурний
репрессия, репресія
препятствие, перешкода
постсоветский, пострадянський
аэропорт, аеропорт
открытка, листівка
княжество, князівство
приз, приз
киевский, київський
зафиксировать, зафіксувати
банда, банда
корпоративный, корпоративний
анекдот, анекдот
километр, кілометр
читать, читати
уборка, прибирання
отомстить, помститися
аналогично, аналогічно
превратиться, перетворитися
переворот, переворот
высказаться, висловитися
усталость, втома
отель, готель
успешный, успішний
партизан, партизан
спереди, спереду
администрация, адміністрація
ежегодный, щорічний
социология, соціологія
трудовой, трудовий
материнский, материнський
комплект, комплект
дорожный, дорожній
бронзовый, бронзовий
издать, видати
прокуратура, прокуратура
сказка, казка
информировать, інформувати
транзит, транзит
минус, мінус
археология, археологія
европейский, європейський
путешественник, мандрівник
кричать, кричати
должное, належне
включить, увімкнути
радиостанция, радіостанція
соль, сіль
ездить, їздити
вена, вена
рядовой, рядовий
отправка, відправка
эпизод, епізод
технология, технологія
митрополит, митрополит
подходящий, відповідний
престол, престол
покой, спокій
невзирая, незважаючи
рецепт, рецепт
языковой, мовної
духовенство, духовенство
наставник, наставник
телефон, телефон
вслух, вголос
фестиваль, фестиваль
интерпретация, інтерпретація
окраска, забарвлення
изучение, вивчення
мост, міст
осадка, осаду
досрочный, достроковий
спирт, спирт
самка, самка
звонить, дзвонити
современный, сучасний
цемент, цемент
ручка, ручка
окружающий, навколишній
профилактический, профілактичний
вызов, виклик
избить, побити
попадание, попадання
говорить, говорити
реформирование, реформування
характеризовать, характеризувати
квота, квота
ожидание, очікування
сервер, сервер
пытаться, намагатися
режим, режим
разрыв, розрив
старинный, старовинний
локальный, локальний
выбрать, вибрати
правонарушение, правопорушення
весовой, ваговій
превращаться, перетворюватися
опьянение, сп'яніння
пешеход, пішохід
смертельно, смертельно
вступить, вступити
стрелка, стрілка
чёрный, чорний
английский, англійська
выявление, виявлення
продать, продати
отец, батько
стимулирование, стимулювання
разрушить, зруйнувати
социализм, соціалізм
вдвоём, удвох
оборудовать, обладнати
сектор, сектор
катание, катання
знамя, прапор
дорога, дорога
увидеть, побачити
стрельба, стрілянина
задний, задній
возведение, зведення
общий, загальний
обжаловать, оскаржити
набирать, набирати
отчётный, звітний
парень, хлопець
операционный, операційний
минимум, мінімум
навигация, навігація
бар, бар
порекомендовать, порекомендувати
возгорание, загоряння
престарелый, старезний
поучаствовать, взяти участь
посетить, відвідати
аналитический, аналітичний
приём, прийом
нулевой, нульовий
фиксация, фіксація
кольцо, кільце
экология, екологія
штраф, штраф
расход, витрата
подчинённый, підлеглий
расположиться, розташуватися
ноутбук, ноутбук
дерево, дерево
пятница, п'ятниця
отличительный, відмітний
привлечение, залучення
начальный, початковий
король, король
разнообразие, різноманітність
передовой, передовий
управлять, керувати
позаботиться, подбати
победитель, переможець
ангел, янгол
спровоцировать, спровокувати
последователь, послідовник
капитальный, капітальний
указать, вказати
отражение, відображення
составление, складання
осложнение, ускладнення
близкий, близький
товарищество, товариство
организовать, організувати
обозреватель, оглядач
гормон, гормон
нога, нога
исполнять, виконувати
избирательный, виборчий
опухоль, пухлина
сформировать, сформувати
американский, американський
базовый, базовий
причастность, причетність
штурм, штурм
передать, передати
последующий, наступний
узел, вузол
наибольший, найбільший
участь, доля
путёвка, путівка
тренер, тренер
сосудистый, судинний
польза, користь
больница, лікарня
младший, молодший
падать, падати
звезда, зірка
декор, декор
соседний, сусідній
групповой, груповий
остановка, зупинка
преступление, злочин
настоятельно, наполегливо
отличиться, відзначитися
обвинять, звинувачувати
разрешить, дозволити
грузовой, вантажний
оказание, надання
утвердить, затвердити
формироваться, формуватися
снятие, зняття
процесс, процес
беспокойство, занепокоєння
посёлок, селище
длительный, тривалий
представление, уявлення
пятно, пляма
зубной, зубний
хоккей, хокей
защитный, захисний
часы, годинник
позволять, дозволяти
заглянуть, заглянути
анкета, анкета
стандартный, стандартний
весы, ваги
директор, директор
сок, сік
охота, полювання
челюсть, щелепа
турист, турист
воинский, військовий
портфолио, портфоліо
село, село
китайский, китайський
череп, череп
оперативный, оперативний
патент, патент
спуск, спуск
торговать, торгувати
указанный, зазначений
водород, водень
магия, магія
подземный, підземний
партнёр, партнер
врезаться, врізатися
поздравлять, вітати
разделить, розділити
филиал, філія
строгий, суворий
бояться, боятися
покрытие, покриття
способность, здатність
разбить, розбити
песнь, пісня
увеличить, збільшити
проповедь, проповідь
сопровождение, супровід
иркутский, іркутський
аппетит, апетит
лагерь, табір
петербургский, петербурзький
акционерный, акціонерний
жизненный, життєвий
эстонский, естонський
самостоятельный, самостійний
допускаться, допускатися
делаться, робитися
стальной, сталевий
белка, білка
канализация, каналізація
супруг, чоловік
страдать, страждати
самочувствие, самопочуття
ничуть, нітрохи
слушать, слухати
продвигать, просувати
эксклюзивный, ексклюзивний
олимпиада, олімпіада
озабоченность, заклопотаність
переименовать, перейменувати
закладка, закладка
витамин, вітамін
себестоимость, собівартість
морской, морський
колесо, колесо
завоевание, завоювання
предназначение, призначення
оккупировать, окупувати
составляться, складатися
средневековье, середньовіччя
спрашивать, питати
изменять, змінювати
порадовать, порадувати
инвестиционный, інвестиційний
заряд, заряд
кислород, кисень
ухудшение, погіршення
некий, якийсь
грант, грант
община, громада
князь, князь
погибать, гинути
аргумент, аргумент
зоопарк, зоопарк
небо, небо
комнатный, кімнатний
крейсер, крейсер
нежно, ніжно
добавление, додавання
нота, нота
ум, розум
учреждение, установа
удобный, зручний
дедушка, дідусь
канал, канал
надеть, надіти
область, область
постановление, постанова
ратификация, ратифікація
осуществить, здійснити
хвост, хвіст
семейный, сімейний
молчание, мовчання
администратор, адміністратор
членство, членство
углерод, вуглець
тариф, тариф
принтер, принтер
наряд, наряд
высказывание, вислів
конструктор, конструктор
уменьшиться, зменшитися
легендарный, легендарний
пара, пара
визовый, візовий
подобный, подібний
строчка, рядок
назначение, призначення
наблюдение, спостереження
луч, промінь
съёмка, зйомка
механический, механічний
жёлтый, жовтий
соседство, сусідство
луна, місяць
глубокий, глибокий
лондонский, лондонський
капля, крапля
огромный, величезний
внедрить, впровадити
поставлять, постачати
колонна, колона
потребитель, споживач
уголовный, кримінальний
мир, світ
рыбак, рибалка
правящий, правлячий
реставрация, реставрація
справляться, справлятися
привычка, звичка
утечка, витік
пустыня, пустеля
судьба, доля
схема, схема
бухгалтер, бухгалтер
распространить, поширити
чёткий, чіткий
излишний, зайвий
подводный, підводний
комфортный, комфортний
аппаратура, апаратура
кинотеатр, кінотеатр
содержимый, вміст
коридор, коридор
ожидать, очікувати
фотограф, фотограф
ведомость, відомість
приступить, приступити
ложка, ложка
захватить, захопити
явиться, з'явитися
добиться, домогтися
закупка, закупівля
принести, принести
психологический, психологічний
эксплуатация, експлуатація
преподаватель, викладач
предмет, предмет
блог, блог
бедро, стегно
твёрдый, твердий
чётко, чітко
опека, опіка
замысел, задум
парламент, парламент
милый, милий
истребитель, винищувач
разместить, розмістити
потомок, нащадок
персональный, персональний
адекватно, адекватно
здравоохранение, охорона здоров'я
охотник, мисливець
будущее, майбутнє
подпись, підпис
начать, почати
показатель, показник
контрактный, контрактний
правитель, правитель
серый, сірий
милость, милість
равный, рівний
запланировать, запланувати
улучшение, поліпшення
отметить, відзначити
мужской, чоловічий
недостаток, недолік
молодёжь, молодь
жилища, житла
заместитель, заступник
песня, пісня
сауна, сауна
туристический, туристичний
формула, формула
луганский, луганський
маленький, маленький
качественный, якісний
намеренно, навмисно
печатать, друкувати
течение, течія
столовый, столовий
дорогой, дорогий
расстаться, розлучитися
возвращаться, повертатися
ликвидация, ліквідація
выдерживать, витримувати
расположить, розташувати
капитан, капітан
тройка, трійка
кран, кран
отличаться, відрізнятися
переехать, переїхати
ошибка, помилка
деятель, діяч
соблюдение, дотримання
церковный, церковний
кислота, кислота
туберкулёз, туберкульоз
выдаваться, видаватися
невеста, наречена
сам, сам
береговой, берегової
одержать, здобути
улыбка, посмішка
нанести, нанести
должностной, посадовий
яблоко, яблуко
резервный, резервний
превращение, перетворення
пассажир, пасажир
совершаться, відбуватися
поддерживать, підтримувати
кредитор, кредитор
понять, зрозуміти
линия, лінія
постановить, постановити
удачный, вдалий
предоставить, надати
посылать, посилати
список, список
обилие, велика кількість
активный, активний
лампа, лампа
аккумулятор, акумулятор
бокс, бокс
планировка, планування
первоначальный, початковий
известный, відомий
проверить, перевірити
минский, мінський
обычай, звичай
попробовать, спробувати
инспектор, інспектор
материальный, матеріальний
крыша, дах
упомянуть, згадати
трудиться, трудитися
почта, пошта
образовательный, освітній
чистка, чистка
спаситель, рятівник
основать, заснувати
изобразить, зобразити
добавляться, додаватися
