лошадка, конячка
регламентироваться, регламентуватися
соединение, з'єднання
богослужебный, богослужбовий
пополнять, поповнювати
лингвопереводческий, лінгвоперекладацький
посильный, посильний
приумножать, примножувати
общегеографический, загальногеографічний
оправдывать, виправдовувати
кожный, шкірний
аэрологический, аерологічний
палаточный, наметовий
глумиться, глумитися
девитализировать, девіталізувати
вокзальный, вокзальний
пистолет, пістолет
мегаполис, мегаполіс
вознаградить, винагородити
облик, вигляд
бюрократ, бюрократ
капроновый, капроновий
недоброкачественный, недоброякісний
долговечный, довговічний
ацетопропиловый, ацетопропіловий
предохранительный, запобіжний
континент, континент
дезинфекционный, дезінфекційний
позорить, ганьбити
аудиовизуальный, аудиовізуальний
генерирующий, генеруючий
криотерапия, кріотерапія
абсорбирование, абсорбування
витринный, вітринний
монетизировать, монетизувати
встревожить, стривожити
базироваться, базуватися
сладость, солодкість
заставить, змусити
устье, гирло
фон, фон
поклонение, поклоніння
паук, павук
сантиметровий, сантиметровий
контекстуальный, контекстуальний
подоконник, підвіконня
мочевыводящий, сечовивідний
поощрительный, заохочувальний
литературоведение, літературознавство
гинекологический, гінекологічний
пригодиться, стати в нагоді
внедрять, впроваджувати
служащий, який служить
анестезиолог, анестезіолог
летучесть, летючість
забастовка, страйк
пациентка, пацієнтка
гидроакустический, гідроакустичний
депонировать, депонувати
термомеханический, термомеханічний
крупнозернистый, крупнозернистий
взрывозащитный, вибухозахисний
воспламениться, спалахнути
молокосодержащий, молокомісткий
подмывать, підмивати
лазарет, лазарет
привычно, звично
версификация, версифікація
вентилироваться, вентилюватися
княжеский, княжий
водоподогреватель, водопідігрівач
стоматологический, стоматологічний
грузоподъёмный, вантажопідйомний
иголка, голка
легкоатлетический, легкоатлетичний
луковица, цибулина
натягивать, натягувати
количество, кількість
алфавит, алфавіт
обмёрзнуть, обмерзнути
первопрохождение, першопроходження
водоносный, водоносний
архипелаг, архіпелаг
согревание, зігрівання
атлетический, атлетичний
природопользователь, природокористувач
лакирование, лакування
увлажнить, зволожити
поспорить, посперечатися
морозостойкий, морозостійкий
моментный, моментний
пастернак, пастернак
интимный, інтимний
прожиточный, прожитковий
кинорежиссер, кінорежисер
манипуляционный, маніпуляційний
мотоциклетный, мотоциклетний
беленький, біленький
соревнование, змагання
катализировать, каталізувати
водосодержащий, водовмісний
cлyчaй, випадок
обогревать, обігрівати
хореографический, хореографічний
мужественный, мужній
преуспеть, досягти успіху
амидосульфокислота, амідосульфокислота
артилерийский, артилерійський
катапультирование, катапультування
ультразвук, ультразвук
тиражный, тиражний
зарплатный, зарплатний
военнопромышленный, військово-промисловий
кораблевождение, кораблеводіння
крупинка, крупинка
подконтрольный, підконтрольний
стеклянный, скляний
кардиосанаторий, кардіосанаторій
кожура, шкірка
спутник, супутник
замаливание, замолювання
влагонепроницаемый, вологонепроникний
топливозаправочный, паливозаправний
предохранять, охороняти
круизный, круїзний
вагонка, вагонка
лесопосадочный, лісосадильний
плоскогубцы, плоскогубці
многоразовый, багаторазовий
прибрежный, прибережний
дизентерийный, дизентерійний
подкожный, підшкірний
виноградарский, виноградарський
ударный, ударний
подмешивание, підмішування
кровельщик, покрівельник
инфраструктурный, інфраструктурний
судьба, доля
кратковременный, короткочасний
газоспасательный, газорятувальний
трубопроводный, трубопровідний
морозилка, морозилка
насморк, нежить
витаминизация, вітамінізація
партнёр, партнер
молокозавод, молокозавод
кукурузный, кукурудзяний
корзина, корзина 
медикаментозный, медикаментозний
крещенский, водохресний
мочеполовой, сечостатевий
повышаться, підвищуватися
вагонопассажирский, вагонопасажирський
корпоративный, корпоративний
многокомпонентный, багатокомпонентний
грязелечебный, грязелікувальний
интрузивный, інтрузивний
травматологический, травматологічний
овальность, овальність
мясоперерабатывающий, м'ясопереробний
могила, могила
диаметральный, діаметральний
легализовать, легалізувати
катамаран, катамаран
вертолетостроительный, вертольотобудівний
