радиоактивный, радіоактивний
хозяйственный, господарський
известный, відомий
банковский, банківський
выставка, виставка
сустав, суглоб
грамм, грам
инновация, інновація
проректор, проректор
передача, передача
компьютер, комп'ютер
турецкий, турецька
существование, існування
вышеуказанный, вищевказаний
луговой, луговий
фабрика, фабрика
кооперативный, кооперативний
проходить, проходити
православный, православний
токсичный, токсичний
крепление, кріплення
объективный, об'єктивний
учёба, навчання
территория, територія
означать, означати
долг, борг
сад, сад
публика, публіка
тестирование, тестування
биоразнообразие, біорізноманіття
дата, дата
нахождение, знаходження
энергетик, енергетик
очень, дуже
комбинированный, комбінований
редакция, редакція
нести, нести
групповой, груповий
пища, їжа
выдавать, видавати
мало, мало
пятидневный, п'ятиденний
отражённый, відбитий
межнациональный, міжнаціональний
утрата, втрата
сводный, зведений
наделение, наділення
трехсторонний, тристоронній
присутствие, присутність
федеративный, федеративний
подавать, подавати
замена, заміна
координационный, координаційний
геологический, геологічний
участковый, дільничний
проба, проба
расстояние, відстань
коллективный, колективний
оболочка, оболонка
сальдо, сальдо
присвоение, привласнення
административный, адміністративний
страховой, страховий
изъять, вилучити
возникать, виникати
вовлечь, утягнути
подчинённость, підпорядкованість
существующий, існуючий
заключать, укладати
уникальный, унікальний
локомотив, локомотив
закрытый, закритий
дарственный, дарчий
насилие, насильство
функциональный, функціональний
вестись, вестися
снижение, зниження
культура, культура
двигательный, руховий
перевод, переклад
дефицит, дефіцит
демонтаж, демонтаж
устойчивость, стійкість
противотуберкулёзный, протитуберкульозний
дальневосточный, далекосхідний
капиталовложение, капіталовкладення
разработчик, розробник
зачисление, зарахування
ручной, ручний
археология, археологія
заверить, запевнити
назначать, призначати
тематический, тематичний
агрегат, агрегат
сопровождение, супровід
алкоголь, алкоголь
судья, суддя
выпускник, випускник
концерн, концерн
обратный, зворотний
бывший, колишній
аналог, аналог
разработать, розробити
коммунальный, комунальний
расследование, розслідування
угол, кут
метрополитен, метрополітен
препятствие, перешкода
учебный, навчальний
матереть, матереть
конечный, кінцевий
металлургия, металургія
представительный, представницький
тракторист, тракторист
агитационный, агітаційний
засчитываться, зараховуватися
статистический, статистичний
переливание, переливання
колонна, колона
круглосуточно, цілодобово
аналитический, аналітичний
недостаточность, недостатність
цифровой, цифровий
приборостроение, приладобудування
выразить, висловити
соединение, з'єднання
именной, іменний
ввод, введення
совершить, здійснити
близкие, близькі
автоматизированный, автоматизований
нагрузка, навантаження
послание, послання
поставить, поставити
климатический, кліматичний
оборотный, оборотний
мощь, міць
спутниковый, супутниковий
учёный, учений
измерительный, вимірювальний
конкурентоспособный, конкурентоспроможний
байкальский, байкальский
ставка, ставка
сделка, угода
попечительство, піклування
альтернативный, альтернативний
лицей, ліцей
совокупный, сукупний
спасательный, рятувальний
смета, кошторис
запланировать, запланувати
совершать, здійснювати
толкование, тлумачення
реактор, реактор
акционер, акціонер
машина, машина
характеристика, характеристика
ассоциация, асоціація
муниципальный, муніципальний
выезд, виїзд
собственник, власник
церковь, церква
закладка, закладка
реквизит, реквізит
инфляция, інфляція
исключаться, виключатися
укрепление, зміцнення
срок, термін
интерпол, інтерпол
конституция, конституція
академия, академія
плавучий, плавучий
июнь, червень
прилагать, докладати
расчёт, розрахунок
канал, канал
осенний, осінній
системный, системний
монтажный, монтажний
вызов, виклик
вытекать, витікати
инвестиция, інвестиція
коллектив, колектив
спина, спина
обращение, звернення
клапан, клапан
природный, природний
военный, військовий
берег, берег
принцип, принцип
приоритет, пріоритет
препарат, препарат
районный, районний
офицер, офіцер
доводиться, доводитися
полость, порожнина
число, число
конвертация, конвертація
указать, вказати
фиксировать, фіксувати
предмет, предмет
оснащение, оснащення
пластмасса, пластмаса
собственно, власне
бесперебойный, безперебійний
заём, позика
налогоплательщик, платник податків
микрорайон, мікрорайон
версия, версія
повторный, повторний
дистанция, дистанція
пожизненный, довічний
несоблюдение, недотримання
избежание, уникнення
кластер, кластер
абсолютный, абсолютний
сплошной, суцільний
грузобагаж, вантажобагаж
бакалавриат, бакалаврат
палата, палата
превышать, перевищувати
взаимный, взаємний
произойти, статися
одобрение, схвалення
слесарь, слюсар
экспозиция, експозиція
сурдопереводчик, сурдоперекладач
угрожаемый, загрозливий
транзитный, транзитний
концентрация, концентрація
полоса, смуга
изложить, викласти
коробка, коробка
предъявление, пред'явлення
нижний, нижній
актуальный, актуальний
аэронавигационный, аеронавігаційний
повлечь, спричинити
физический, фізичний
инвестор, інвестор
писать, писати
конверт, конверт
достаточный, достатній
заголовок, заголовок
негодность, непридатність
подход, підхід
запад, захід
выделить, виділити
излучение, випромінювання
тайский, тайський
осуществлять, здійснювати
успешный, успішний
разрабатывать, розробляти
терапевтический, терапевтичний
монастырь, монастир
отказываться, відмовлятися
координатор, координатор
активизация, активізація
падение, падіння
стажировка, стажування
нотариальный, нотаріальний
высокочастотный, високочастотний
химически, хімічно
народ, народ
библиотечный, бібліотечний
наружный, зовнішній
должник, боржник
назвать, назвати
ряд, ряд
стратегия, стратегія
памятный, пам'ятний
характер, характер
противопоказание, протипоказання
тушение, гасіння
высказывание, вислів
компетенция, компетенція
предусматриваться, передбачатися
погода, погода
преимущественный, переважний
список, список
блок, блок
регулярно, регулярно
какой, який
потребитель, споживач
родительский, батьківський
доход, дохід
республиканский, республіканський
широкий, широкий
аванс, аванс
красавчик, красень
порча, псування
посторонний, сторонній
отсталый, відсталий
штамп, штамп
полотно, полотно
реклама, реклама
накопление, накопичення
пояс, пояс
управленческий, управлінський
ящик, ящик
литр, літр
уверенность, впевненість
окончание, закінчення
кредит, кредит
удовлетворенность, задоволеність
лекарственный, лікарський
возобновление, відновлення
красный, червоний
бортовый, бортовий
океан, океан
оцениваться, оцінюватися
неполный, неповний
правоохранительный, правоохоронний
творческий, творчий
исламский, ісламський
подготовленность, підготовленість
выкуп, викуп
конкретный, конкретний
обнародование, оприлюднення
отряд, загін
безопасный, безпечний
переносный, переносний
закрепить, закріпити
отключение, відключення
садоводческий, садівничий
реабилитировать, реабілітувати
подконтрольный, підконтрольний
минимум, мінімум
ограждение, огорожа
комфортность, комфортність
указывать, вказувати
копейка, копійка
онкологический, онкологічний
направить, направити
журнал, журнал
камуфлированный, камуфльований
расписываться, розписуватися
независимый, незалежний
акционерный, акціонерний
родственник, родич
олень, олень
полковник, полковник
краевой, крайової
игровой, ігровий
престиж, престиж
масло, олія
прочий, інший
несостоявшийся, відбувся
бельё, білизна
космический, космічний
ориентир, орієнтир
аэропорт, аеропорт
занимать, займати
квадратный, квадратний
заверять, завіряти
безбарьерный, безбар'єрний
руда, руда
кредитор, кредитор
парламентский, парламентський
казна, скарбниця
звонок, дзвінок
сгибание, згинання
будущее, майбутнє
подключение, підключення
остаться, залишитися
аннулирование, анулювання
сопровождать, супроводжувати
польский, польський
пояснение, пояснення
дополнитель, додаткових
отражение, відображення
боевой, бойової
женский, жіночий
осваивать, освоювати
процессуальный, процесуальний
судебный, судовий
учитель, учитель
реабилитационный, реабілітаційний
стоянка, стоянка
скважина, свердловина
удовлетворить, задовольнити
телекоммуникация, телекомунікація
старший, старший
слушание, слухання
жилища, житла
визуальный, візуальний
юрист, юрист
склонение, схиляння
ценность, цінність
перспективный, перспективний
водохранилище, водосховище
исполнительный, виконавчий
дополнительный, додатковий
паводок, паводок
переселение, переселення
пользователь, користувач
лимит, ліміт
пересмотр, перегляд
управлять, керувати
стратегический, стратегічний
колония, колонія
радиостанция, радіостанція
увеличиться, збільшитися
подчиняться, підкорятися
начисляться, нараховуватися
окупаемость, окупність
молодой, молодий
тайный, таємний
задержание, затримання
сбор, збір
оказываться, надаватися
сердечно, серцево
корпоративный, корпоративний
подготовить, підготувати
локальный, локальний
график, графік
амбулаторный, амбулаторний
злоупотребление, зловживання
ветеринарный, ветеринарний
супруг, чоловік
вестник, вісник
обеденный, обідній
подать, подати
характеризоваться, характеризуватися
авансовый, авансовий
путь, шлях
вагон, вагон
соотечественник, співвітчизник
включаться, включатися
ограничение, обмеження
законодательство, законодавство
знак, знак
конфиденциальность, конфіденційність
подкомиссия, підкомісія
обеспечить, забезпечити
потому, тому
процент, відсоток
приобщаться, долучатися
рукав, рукав
целесообразно, доцільно
инструктор, інструктор
недопущение, недопущення
мужчина, чоловік
самоуправа, самоуправа
достоинство, гідність
многоквартирный, багатоквартирний
следствие, наслідок
краснодарский, краснодарський
признание, визнання
вместимость, місткість
возникнуть, виникнути
рубль, рубль
парковка, парковка
обращаться, звертатися
разгрузочный, розвантажувальний
коммерциализация, комерціалізація
кодовый, кодовий
изменить, змінити
перемещение, переміщення
старшина, старшина
консультационный, консультаційний
снаряжение, спорядження
товаропроизводитель, товаровиробник
позиция, позиція
название, назва
кадр, кадр
коммерческий, комерційний
подтверждение, підтвердження
прекращение, припинення
филиал, філія
анализатор, аналізатор
негосударственный, недержавний
добыча, здобич
аудитор, аудитор
минимальный, мінімальний
устранить, усунути
берегоукрепление, берегоукріплення
вычет, відрахування
беременный, вагітний
экстремистский, екстремістський
безработный, безробітний
присмотр, нагляд
лейтенант, лейтенант
рекламный, рекламний
усиление, посилення
нормативный, нормативний
машиностроительный, машинобудівний
привлекаться, залучатися
хранение, зберігання
валюта, валюта
пожарный, пожежний
календарь, календар
изобретение, винахід
уйти, піти
планировать, планувати
большинство, більшість
человеческий, людський
награда, нагорода
пограничный, прикордонний
следить, стежити
тепловой, тепловий
бухгалтерский, бухгалтерський
своевременный, своєчасний
характеризовать, характеризувати
абонентский, абонентський
понести, понести
лечебный, лікувальний
организовать, організувати
переоценка, переоцінка
ссылка, посилання
опьянение, сп'яніння
стойкий, стійкий
стоматологический, стоматологічний
аварийный, аварійний
рыболовство, рибальство
углеводород, вуглеводень
новообразование, новоутворення
государство, держава
разрушение, руйнування
решающий, вирішальний
давать, давати
пропасть, прірва
зала, залу
расположить, розташувати
наглядный, наочний
королева, королева
поручение, доручення
запас, запас
лишить, позбавити
билет, квиток
сезонный, сезонний
заключить, укласти
требование, вимога
углублённый, поглиблений
смысл, сенс
предусмотреть, передбачити
привлекать, залучати
погребение, поховання
подъездный, під'їзний
мужество, мужність
плотина, гребля
земельный, земельний
дошкольный, дошкільний
подъёмный, підйомний
касаться, стосуватися
совпадать, збігатися
погрузка, погрузка
средний, середній
кислород, кисень
маяк, маяк
охранять, охороняти
способствовать, сприяти
потерпевший, потерпілий
хлеб, хліб
июль, липня
вверх, вгору
температура, температура
эксплуатационный, експлуатаційний
систематизация, систематизація
мусор, сміття
научный, науковий
нанесение, нанесення
два, два
нагрев, нагрів
международный, міжнародний
непрограммный, непрограммной
уведомить, повідомити
наличный, готівковий
вход, вхід
ягодный, ягідний
старый, старий
надзор, нагляд
дворец, палац
тепло, тепло
стекло, скло
кабина, кабіна
приобрести, придбати
прекратить, припинити
закрытие, закриття
древесина, деревина
окружность, окружність
аттестат, атестат
гостиница, готель
куртка, куртка
градус, градус
примерно, приблизно
расходование, витрачання
школа, школа
угроза, загроза
формирование, формування
уголь, вугілля
речь, мова
плоскостной, площинний
специальность, спеціальність
утратить, втратити
сократить, скоротити
продавец, продавець
импорт, імпорт
располагаться, розташовуватися
паспортный, паспортний
монополия, монополія
сопроводительный, супровідний
причинить, заподіяти
достигнуть, досягти
блочный, блоковий
ремонтный, ремонтний
интегральный, інтегральний
себестоимость, собівартість
телевизионный, телевізійний
культ, культ
выпадать, випадати
просветительский, просвітницький
климат, клімат
норма, норма
животное, тварина
род, рід
пристройка, прибудова
судостроение, суднобудування
распределять, розподіляти
создавать, створювати
оформить, оформити
энергоснабжающий, енергопостачальний
игра, гра
задание, завдання
контейнер, контейнер
возмещение, відшкодування
прогнозный, прогнозний
застройщик, забудовник
основать, заснувати
уведомление, сповіщення
крупнопанельный, великопанельний
исчисление, обчислення
контур, контур
миграционный, міграційний
доцент, доцент
позволять, дозволяти
завершить, завершити
народный, народний
измерение, вимір
случай, випадок
дублирование, дублювання
право, право
базовый, базовий
транзит, транзит
металлический, металевий
режим, режим
употребление, вживання
левый, лівий
конференция, конференція
авиаперевозка, авіаперевезення
инициатива, ініціатива
подведение, підведення
электроника, електроніка
транспортирование, транспортування
ассамблея, асамблея
новый, новий
межведомственный, міжвідомчий
реорганизация, реорганізація
октябрь, жовтень
извлечение, витяг
санитарный, санітарний
действительность, дійсність
наследие, спадщина
многолетний, багаторічний
ветер, вітер
консолидированный, консолідований
фактор, фактор
ввести, ввести
беженец, біженець
учёт, облік
купонный, купонний
электробезопасность, електробезпека
предыдущий, попередній
развивать, розвивати
печатный, друкований
следующий, наступний
увеличить, збільшити
угольный, вугільний
олимпиада, олімпіада
шапка, шапка
запросить, запросити
возбудить, порушити
отрицательный, негативний
линейный, лінійний
занятие, заняття
хирург, хірург
замещение, заміщення
тяжёлый, важкий
недостоверный, недостовірний
избиратель, виборець
владелец, власник
впредь, надалі
профессионализм, професіоналізм
предел, межа
приоритетный, пріоритетний
плодовый, плодовий
ремонт, ремонт
зрительный, зоровий
экспедиция, експедиція
рассмотреть, розглянути
биржа, біржа
темно, темно
судоходный, судноплавний
стул, стілець
испытание, випробування
межгосударственный, міждержавний
критически, критично
санаторий, санаторій
инспекция, інспекція
сложность, складність
двенадцать, дванадцять
охлаждение, охолодження
актуальность, актуальність
консульский, консульський
некоммерческий, некомерційний
собственный, власний
образовать, утворити
взять, взяти
вооружённый, озброєний
этап, етап
причина, причина
резервный, резервний
учитываться, враховуватися
светлый, світлий
внедрение, впровадження
признать, визнати
река, річка
школьный, шкільний
наградить, нагородити
занести, занести
капитальный, капітальний
инспекционный, інспекційний
самостоятельный, самостійний
ремень, ремінь
нефтяной, нафтовый
формат, формат
защитить, захистити
регулироваться, регулюватися
молодёжный, молодіжний
производить, виробляти
повышать, підвищувати
публиковаться, публікуватися
труднодоступный, важкодоступний
нарушение, порушення
электрический, електричний
механик, механік
жилой, житловий
почта, пошта
регламент, регламент
знакомиться, знайомитися
утверждать, стверджувати
оснащённость, оснащеність
получать, отримувати
текст, текст
потреблять, споживати
биомедицинский, біомедичний
несчастный, нещасний
интерес, інтерес
водоснабжение, водопостачання
анализ, аналіз
значение, значення
арбитражный, арбітражний
тренировочный, тренувальний
пространственный, просторовий
растительность, рослинність
подъезд, під'їзд
платёж, платіж
честь, честь
выращивание, вирощування
подбор, підбір
официально, офіційно
малое, мале
плавание, плавання
плотность, густина
совершенный, досконалий
мобильный, мобільний
секретарь, секретар
повседневный, повсякденний
флаг, прапор
рассматривать, розглядати
пользоваться, користуватися
стать, стати
порядок, порядок
прохождение, проходження
объединить, об'єднати
водонагреватель, водонагрівач
безводный, безводний
паспорт, паспорт
внеочередной, позачерговий
внебюджетный, позабюджетний
проверка, перевірка
головной, головний
стрельба, стрілянина
корпорация, корпорація
платформа, платформа
водопровод, водопровід
процедура, процедура
лимфоидный, лімфоїдний
фон, фон
способность, здатність
береговой, береговий
компенсация, компенсація
технически, технічно
номер, номер
отечество, Вітчизна
инсулин, інсулін
углерод, вуглець
построение, побудова
эффект, ефект
выдать, видати
телекоммуникационный, телекомунікаційний
абонент, абонент
инспектор, інспектор
инвалидность, інвалідність
отремонтировать, відремонтувати
парламент, парламент
гора, гора
ракетный, ракетний
дефект, дефект
расчётный, розрахунковий
улучшить, поліпшити
эфир, ефір
аппаратный, апаратний
коллектор, колектор
технология, технологія
золото, золото
периодичность, періодичність
аспирант, аспірант
согласовать, узгодити
посёлок, селище
движимый, рухомий
подразделение, підрозділ
скобка, дужка
опрос, опитування
учредительный, установчий
доллар, долар
знать, знати
материальный, матеріальний
исходный, початковий
общехозяйственный, загальногосподарський
тема, тема
сорок, сорок
иметь, мати
стоковый, стоковий
единый, єдиний
проводы, проводи
растительный, рослинний
проезжий, проїжджий
вневедомственный, позавідомчий
метод, метод
театрально, театрально
ветеран, ветеран
контингент, контингент
вступить, вступити
квалификация, кваліфікація
благоприятный, сприятливий
классный, класний
оптовый, оптовий
уменьшение, зменшення
высокопроизводительный, високопродуктивний
геодезический, геодезичний
разгибание, розгинання
образоваться, утворитися
стройка, будівництво
карантинный, карантинний
напряжённость, напруженість
серия, серія
треть, третину
тренировка, тренування
показывать, показувати
своевременность, своєчасність
воспитательный, виховний
соединять, з'єднувати
помощник, помічник
газета, газета
вывозить, вивозити
показываться, показуватися
уязвимость, вразливість
любой, будь-який
командир, командир
признавать, визнавати
пряжа, пряжа
уголовный, кримінальний
обусловить, обумовити
аукцион, аукціон
вручение, вручення
систематический, систематичний
требовать, вимагати
класс, клас
реализовывать, реалізовувати
свидетельствовать, свідчити
рейтинг, рейтинг
принадлежность, належність
гранула, гранула
полиграфический, поліграфічний
выпуск, випуск
плод, плід
способный, здатний
присоединение, приєднання
характерный, характерний
праздничный, святковий
действительно, дійсно
справедливость, справедливість
сфера, сфера
контролировать, контролювати
конкурентный, конкурентний
психоневрологический, психоневрологічний
выплатить, виплатити
полный, повний
оставить, залишити
полезный, корисний
желающий, бажаючий
обход, обхід
множественный, множинний
крайне, вкрай
рост, зріст
руководящий, керівний
возможность, можливість
осуществить, здійснити
ознакомиться, ознайомитися
подготавливаться, готуватися
ключевой, ключовий
негативно, негативно
дизайн, дизайн
выигрыш, виграш
разъяснение, роз'яснення
срочный, терміновий
отход, відхід
начисление, нарахування
центральный, центральний
невозможность, неможливість
распорядитель, розпорядник
логический, логічний
отцовство, батьківство
автотранспортный, автотранспортний
информирование, інформування
косвенно, опосередковано
оборудовать, обладнати
лицензионный, ліцензійний
комната, кімната
способ, спосіб
информированность, інформованість
отдел, відділ
книга, книга
камень, камінь
депозитарий, депозитарій
рекомендовать, рекомендувати
постановка, постановка
проектировать, проектувати
селекция, селекція
семинар, семінар
гуманитарный, гуманітарний
национальный, національний
поток, потік
наладка, налагодження
зарегистрировать, зареєструвати
заниматься, займатися
штатный, штатний
сложиться, скластися
аккредитовать, акредитувати
ипотечный, іпотечний
конфликт, конфлікт
достоверный, достовірний
горный, гірський
оригинал, оригінал
предвыборный, передвиборний
поселение, поселення
хирургия, хірургія
изъятие, вилучення
задержать, затримати
морской, морський
вредитель, шкідник
подпункт, підпункт
слепой, сліпий
кооператив, кооператив
пожар, пожежа
миллион, мільйон
картон, картон
газовый, газовий
индекс, індекс
психиатр, психіатр
пребывание, перебування
визуально, візуально
непрерывный, безперервний
возможный, можливий
французский, французький
удостоверять, засвідчувати
алтайский, алтайський
процентный, процентний
вера, віра
самозанятость, самозайнятість
зритель, глядач
отправление, відправлення
партия, партія
энергопромышленный, енергопромисловий
обобщённый, узагальнений
объёмный, об'ємний
подтверждать, підтверджувати
контекст, контекст
краткосрочный, короткостроковий
сесть, сісти
легковой, легковий
подсобный, підсобний
умственно, розумово
совет, порада
фонд, фонд
подарок, подарунок
конечность, кінцівка
виновный, винний
связать, зв'язати
подвал, підвал
