российской , російської
федерации, федерації
области, області
государственной, державної
федерального, федерального
республики, республіки
соответствии, відповідно
правительства, уряду
России, Росії
средств, коштів
государственных, державних
программы, програми
деятельности, діяльності
постановление, постанову
органов, органів
услуг, послуг
бюджета, бюджету
числе, числі
обеспечение, забезпечення
образования, освіти
организации, організації
реализации, реалізації
закона, закону
работ, робіт
внесении, внесення
власти, влади
обеспечения, забезпечення
государственного, державного
изменений, змін
части, частини
территории, території
управления, управління
системы, системи
порядке, порядку
область, область
объектов, об'єктів
статьи, статті
бюджет, бюджет
края, краю
службы, служби
мероприятий, заходів
граждан, громадян
субсидии, субсидії
случае, випадку
развития, розвитку
настоящего, справжнього
организаций, організацій
предоставления, надання
населения, населення
наименование, найменування
комиссии, комісії
ремонт, ремонт
лиц, осіб
субъектов, суб'єктів
правительство, уряд
подпрограммы, підпрограми
связи, зв'язку
федеральный, федеральний
муниципальных, муніципальних
товаров, товарів
развитие, розвиток
собрания, зборів
годы, роки
сфере, сфері
Москва, Москва
Думы, Думи
дня, дня
работы, роботи
законодательства, законодавства
безопасности, безпеки
министерство, міністерство
заменить, замінити
счет, рахунок
документов, документів
министерства, міністерства
федеральной, федеральної
рублей, рублів
информации, інформації
органами, органами
социальной, соціальної
исполнительной, виконавчої
услуги, послуги
целях, цілях
декабря, грудня
детей, дітей
средства, кошти
мероприятие, захід
силу, силу
пункта, пункту
труда, праці
выполнения, виконання
утверждении, затвердження
район, район
рамках, рамках
изложить, викласти
срок, термін
словами, словами
закон, закон
проведения, проведення
лица, особи
иные, інші
субсидий, субсидій
органа, органу
совета, ради
местного, місцевого
учреждения, установи
слова, слова
постановлением, постановою
мероприятия, заходи
следующей, наступного
выплаты, виплати
пункте, пункті
фонда, фонду
хозяйства, господарства
иных, інших
расходы, витрати
федеральных, федеральних
строительства, будівництва
порядок, порядок
период, період
либо, або
учреждений, установ
культуры, культури
дополнить, доповнити
общего, загального
сведения, відомості
президента, президента
приложение, прикладна програма
федеральным, федеральним
района, району
функций, функцій
законодательством, законодавством
количество, кількість
законом, законом
изменения, зміни
председатель, голова
муниципального, муніципального
решения, рішення
расходов, витрат
осуществляется, здійснюється
общества, суспільства
работников, працівників
государственная, державна
форме, формі
проведение, проведення
основное, основне
продукции, продукції
условий, умов
государственными, державними
строительство, будівництво
установленном, встановленому
контроля, контролю
течение, течія
указанных, зазначених
пункт, пункт
имущества, майна
округа, округу
защиты, захисту
дней, днів
собственности, власності
управление, управління
статья, стаття
использования, використання
суда, суду
положения, положення
пунктом, пунктом
номер, номер
областного, обласного
республике, республіці
отношении, відношенні
предоставление, надання
регистрационный, реєстраційний
следующего, наступного
самоуправления, самоврядування
организация, організація
порядка, порядку
бюджетных, бюджетних
июля, липень
помощи, допомоги
января, січня
объем, обсяг
здравоохранения, охорони здоров'я
органы, органи
основании, підставі
республика, республіка
согласно, згідно
оборудования, обладнання
учетом, урахуванням
подпрограмма, підпрограма
является, є
администрации, адміністрації
профессионального, професійного
регистрации, реєстрації
поддержки, підтримки
исключением, винятком
областной, обласної
субъекта, суб'єкта
финансирования, фінансування
научно, науково
производства, виробництва
систем, систем
принятия, прийняття
социального, соціального
министерством, міністерством
автономного, автономного
создание, створіння
значения, значення
должны, повинні
орган, орган
программа, програма
образовательных, освітніх
прав, прав
предусмотренных, передбачених
гражданской, цивільної
рабочих, робочих
следующие, наступні
требований, вимог
июня, Червень
правил, правил
объекта, об'єкта
учета, обліку
инвалидов, інвалідів
действия, дії
предоставлении, надання
апреля, квітня
комитет, комітет
перечень, перелік
внести, внести
настоящее, нині
нужд, потреб
мая, травня
требования, вимоги
проверки, перевірки
код, код
образований, утворень
председателя, голови
актов, актів
должности, посади
соглашения, угоди
город, місто
сети, мережі
акционерного, акціонерного
политики, політики
исполнения, виконання
вопросам, питань
подготовки, підготовки
проекта, проекту
октября, жовтня
осуществление, здійснення
затрат, витрат
получения, отримання
осуществления, здійснення
приказом, наказом
марта, березня
решение, рішення
лицам, особам
ноября, листопада
контроль, контроль
сведений, відомостей
медицинской, медичної
документы, документи
государственный, державний
программ, програм
правительством, урядом
вступает, вступає
деятельность, діяльність
право, право
состав, склад
отдельных, окремих
оказания, надання
государственную, державну
проектов, проектів
бюджетам, бюджетам
кодекса, кодексу
ресурсов, ресурсів
материалов, матеріалів
социально, соціально
постановления, постанови
права, права
губернатора, губернатора
комплекса, комплексу
выполнение, виконання
абзаце, абзаці
среднего, середнього
данных, даних
доля, частка
повышение, підвищення
органом, органом
инфраструктуры, інфраструктури
Мордовия, Мордовія
распоряжение, розпорядження
экономического, економічного
транспорта, транспорту
функции, функції
бюджетные, бюджетні
руководителя, керівника
охраны, охорони
организациях, організаціях
договора, договору
заместитель, заступник
помещений, приміщень
полномочий, повноважень
назначения, призначення
эффективности, ефективності
отдела, відділу
прочие, інші
обязательств, зобов'язань
февраля, лютого
основе, основі
приобретение, придбання
проведении, проведенні
качества, якості
часть, частина
сельского, сільського
бюджетов, бюджетів
учреждение, установа
федеральном, федеральному
занятости, зайнятості
внутренних, внутрішніх
статьей, статтею
государственные, державні
утвердить, затвердити
реализация, реалізація
мер, заходів
реализацию, реалізацію
основных, основних
настоящим, справжнім
статью, статтю
финансовое, фінансове
проект, проект
департамент, департамент
науки, науки
дата, дата
пользования, користування
бюджетным, бюджетним
государственное, державне
юстиции, юстиції
источники, джерела
центр, центр
документа, документа
показателей, показників
связанных, пов'язаних
капитального, капітального
включая, включаючи
нормативных, нормативних
обеспечению, забезпечення
учреждениям, установам
учреждениями, установами
страхования, страхування
государственным, державним
высшего, вищого
настоящей, справжньою
адрес, адреса
установленных, встановлених
приказ, наказ
промышленности, промисловості
финансового, фінансового
акты, акти
пензенской, пензенської
мест, місць
внебюджетные, позабюджетні
соответствующих, відповідних
заявления, заяви
сентября, вересня
гражданам, громадянам
медицинского, медичного
комитета, комітету
условия, умови
имени, імені
технологий, технологій
иным, іншим
финансов, фінансів
спорта, спорту
августа, серпня
итого, разом
видов, видів
электронной, електронної
округ, округ
оценки, оцінки
стоимости, вартості
участка, ділянки
числа, числа
города, міста
организациям, організаціям
образование, утворення
приложению, з додатком
проекте, проект
начальника, начальника
участков, ділянок
обслуживания, обслуговування
стороны, боку
правовых, правових
программе, програмі
оказание, надання
участие, участь
пределах, межах
находящихся, знаходяться
условиях, умовах
использованием, використанням
общей, загальної
указ, указ
физической, фізичної
заместителя, заступника
виде, вигляді
регионального, регіонального
размере, розмірі
обороны, оборони
уровня, рівня
технического, технічного
поселение, поселення
членов, членів
бюджетного, бюджетного
целевой, цільової
правила, правила
содержание, зміст
иркутской, іркутської
позднее, пізніше
путем, шляхом
жилищно, житлово
совет, порада
рассмотрения, розгляду
срока, терміну
реконструкция, реконструкція
дорог, доріг
поддержка, підтримка
территориального, територіального
требованиям, вимогам
формы, форми
помещения, приміщення
сроки, терміни
показателя, показника
объекты, об'єкти
возмещение, відшкодування
частью, частиною
транспортных, транспортних
качестве, як
настоящему, справжньому
указанные, зазначені
цифрами, цифрами
цифры, цифри
санкт, санкт
должностных, посадових
оплаты, оплати
технических, технічних
обучения, навчання
платы, плати
бюджетной, бюджетної
главного, головного
вправе, вправі
энергии, енергії
сумма, сума
система, система
государства, держави
должен, повинен
необходимых, необхідних
информационно, інформаційно
направления, напрямку
организациями, організаціями
территориальных, територіальних
размер, розмір
фонд, фонд
делам, справах
федеральными, федеральними
документации, документації
иностранных, іноземних
места, місця
министра, міністра
осуществляет, здійснює
должна, повинна
предприятия, підприємства
даты, дати
персоналу, персоналу
автомобильных, автомобільних
доходов, доходів
социальных, соціальних
уровень, рівень
участников, учасників
государств, держав
жилищного, житлового
абзац, абзац
стоимость, вартість
бюджете, бюджеті
состава, складу
указанного, зазначеного
край, край
среды, середовища
департамента, департаменту
жилых, житлових
объема, обсягу
цели, мети
